frame,images_centroid_x,images_centroid_y,images_delta_x,images_delta_y,images_distance,images2_centroid_x,images2_centroid_y,images2_delta_x,images2_delta_y,images2_distance,timestamp_s
103,17,19,0,0,0,17,18,0,0,0,5.15
104,17,18,0,-1,1,17,17,0,-1,1,5.2
105,18,17,1,-1,1.414213562,18,18,1,1,1.414213562,5.25
106,18,19,0,2,2,18,17,0,-1,1,5.3
107,19,19,1,0,1,19,17,1,0,1,5.35
108,18,18,-1,-1,1.414213562,19,16,0,-1,1,5.4
109,16,19,-2,1,2.236067977,18,17,-1,1,1.414213562,5.45
110,20,20,4,1,4.123105626,18,17,0,0,0,5.5
111,19,17,-1,-3,3.16227766,18,17,0,0,0,5.55
112,17,18,-2,1,2.236067977,17,17,-1,0,1,5.6
113,19,18,2,0,2,18,16,1,-1,1.414213562,5.65
114,,,,,,,,,,,5.7
115,18,16,-1,-2,2.236067977,16,15,-2,-1,2.236067977,5.75
116,18,18,0,2,2,16,16,0,1,1,5.8
117,19,19,1,1,1.414213562,18,16,2,0,2,5.85
118,18,19,-1,0,1,16,16,-2,0,2,5.9
119,18,17,0,-2,2,17,15,1,-1,1.414213562,5.95
120,20,19,2,2,2.828427125,16,16,-1,1,1.414213562,6
121,18,18,-2,-1,2.236067977,16,17,0,1,1,6.05
122,18,17,0,-1,1,17,15,1,-2,2.236067977,6.1
123,18,18,0,1,1,16,15,-1,0,1,6.15
124,18,17,0,-1,1,16,16,0,1,1,6.2
125,19,18,1,1,1.414213562,16,17,0,1,1,6.25
126,18,17,-1,-1,1.414213562,16,16,0,-1,1,6.3
127,19,17,1,0,1,16,16,0,0,0,6.35
128,19,18,0,1,1,16,16,0,0,0,6.4
129,19,18,0,0,0,16,15,0,-1,1,6.45
130,18,17,-1,-1,1.414213562,16,16,0,1,1,6.5
131,17,18,-1,1,1.414213562,16,16,0,0,0,6.55
132,18,17,1,-1,1.414213562,15,15,-1,-1,1.414213562,6.6
133,16,16,-2,-1,2.236067977,16,15,1,0,1,6.65
134,17,18,1,2,2.236067977,15,16,-1,1,1.414213562,6.7
135,18,17,1,-1,1.414213562,16,16,1,0,1,6.75
136,,,,,,18,14,2,-2,2.828427125,6.8
137,,,,,,16,16,-2,2,2.828427125,6.85
138,18,17,0,0,0,16,16,0,0,0,6.9
139,18,16,0,-1,1,16,16,0,0,0,6.95
140,18,17,0,1,1,18,15,2,-1,2.236067977,7
141,17,18,-1,1,1.414213562,15,17,-3,2,3.605551275,7.05
142,18,17,1,-1,1.414213562,16,15,1,-2,2.236067977,7.1
143,18,17,0,0,0,15,15,-1,0,1,7.15
144,19,17,1,0,1,17,15,2,0,2,7.2
145,16,17,-3,0,3,16,15,-1,0,1,7.25
146,18,18,2,1,2.236067977,15,16,-1,1,1.414213562,7.3
147,19,17,1,-1,1.414213562,15,15,0,-1,1,7.35
