frame,images_centroid_x,images_centroid_y,images_delta_x,images_delta_y,images_distance,images2_centroid_x,images2_centroid_y,images2_delta_x,images2_delta_y,images2_distance,timestamp_s
0,19,21,,,,17,18,,,,0.0
1,17,22,-2,1,2.23606797749979,16,20,-1,2,2.23606797749979,0.05
2,18,21,1,-1,1.4142135623730951,18,20,2,0,2.0,0.1
3,18,21,0,0,0.0,18,21,0,1,1.0,0.15
4,20,21,2,0,2.0,17,19,-1,-2,2.23606797749979,0.2
5,20,21,0,0,0.0,18,20,1,1,1.4142135623730951,0.25
6,20,21,0,0,0.0,19,18,1,-2,2.23606797749979,0.3
7,20,22,0,1,1.0,18,19,-1,1,1.4142135623730951,0.35
8,21,21,1,-1,1.4142135623730951,17,19,-1,0,1.0,0.4
9,21,21,0,0,0.0,18,18,1,-1,1.4142135623730951,0.45
10,20,20,-1,-1,1.4142135623730951,18,20,0,2,2.0,0.5
11,21,21,1,1,1.4142135623730951,18,19,0,-1,1.0,0.55
12,20,19,-1,-2,2.23606797749979,18,20,0,1,1.0,0.6
13,20,19,0,0,0.0,18,19,0,-1,1.0,0.65
14,21,19,1,0,1.0,17,18,-1,-1,1.4142135623730951,0.7
15,19,21,-2,2,2.8284271247461903,17,19,0,1,1.0,0.75
16,19,21,0,0,0.0,18,18,1,-1,1.4142135623730951,0.8
17,20,21,1,0,1.0,18,19,0,1,1.0,0.85
18,20,21,0,0,0.0,19,18,1,-1,1.4142135623730951,0.9
19,20,21,0,0,0.0,18,18,-1,0,1.0,0.95
20,19,21,-1,0,1.0,19,19,1,1,1.4142135623730951,1.0
21,18,20,-1,-1,1.4142135623730951,18,17,-1,-2,2.23606797749979,1.05
22,19,21,1,1,1.4142135623730951,19,18,1,1,1.4142135623730951,1.1
23,20,21,1,0,1.0,18,18,-1,0,1.0,1.15
24,19,21,-1,0,1.0,18,19,0,1,1.0,1.2
25,20,22,1,1,1.4142135623730951,16,17,-2,-2,2.8284271247461903,1.25
26,18,23,-2,1,2.23606797749979,18,19,2,2,2.8284271247461903,1.3
27,19,23,1,0,1.0,17,18,-1,-1,1.4142135623730951,1.35
28,19,22,0,-1,1.0,19,18,2,0,2.0,1.4
29,18,22,-1,0,1.0,18,19,-1,1,1.4142135623730951,1.45
30,19,21,1,-1,1.4142135623730951,19,18,1,-1,1.4142135623730951,1.5
31,20,21,1,0,1.0,17,18,-2,0,2.0,1.55
32,19,22,-1,1,1.4142135623730951,17,19,0,1,1.0,1.6
33,18,22,-1,0,1.0,17,18,0,-1,1.0,1.65
34,19,22,1,0,1.0,17,18,0,0,0.0,1.7
35,19,21,0,-1,1.0,17,17,0,-1,1.0,1.75
36,19,22,0,1,1.0,16,18,-1,1,1.4142135623730951,1.8
37,18,22,-1,0,1.0,15,17,-1,-1,1.4142135623730951,1.85
38,18,21,0,-1,1.0,16,18,1,1,1.4142135623730951,1.9
39,18,20,0,-1,1.0,17,18,1,0,1.0,1.95
40,19,20,1,0,1.0,18,19,1,1,1.4142135623730951,2.0
41,20,22,1,2,2.23606797749979,16,19,-2,0,2.0,2.05
42,20,21,0,-1,1.0,17,18,1,-1,1.4142135623730951,2.1
43,19,22,-1,1,1.4142135623730951,17,18,0,0,0.0,2.15
44,20,21,1,-1,1.4142135623730951,17,19,0,1,1.0,2.2
45,20,22,0,1,1.0,17,18,0,-1,1.0,2.25
46,21,22,1,0,1.0,17,19,0,1,1.0,2.3
47,19,21,-2,-1,2.23606797749979,15,19,-2,0,2.0,2.35
48,20,21,1,0,1.0,16,18,1,-1,1.4142135623730951,2.4
49,19,22,-1,1,1.4142135623730951,17,16,1,-2,2.23606797749979,2.45
50,19,22,0,0,0.0,16,18,-1,2,2.23606797749979,2.5
51,18,21,-1,-1,1.4142135623730951,15,18,-1,0,1.0,2.55
52,19,22,1,1,1.4142135623730951,15,17,0,-1,1.0,2.6
53,18,22,-1,0,1.0,16,17,1,0,1.0,2.65
54,18,22,0,0,0.0,16,17,0,0,0.0,2.7
55,19,23,1,1,1.4142135623730951,17,18,1,1,1.4142135623730951,2.75
56,20,23,1,0,1.0,18,18,1,0,1.0,2.8
57,21,23,1,0,1.0,17,18,-1,0,1.0,2.85
58,20,22,-1,-1,1.4142135623730951,18,17,1,-1,1.4142135623730951,2.9
59,20,22,0,0,0.0,16,18,-2,1,2.23606797749979,2.95
60,20,22,0,0,0.0,14,19,-2,1,2.23606797749979,3.0
61,20,22,0,0,0.0,16,17,2,-2,2.8284271247461903,3.05
62,20,22,0,0,0.0,16,18,0,1,1.0,3.1
63,20,23,0,1,1.0,17,17,1,-1,1.4142135623730951,3.15
64,20,21,0,-2,2.0,17,17,0,0,0.0,3.2
65,20,23,0,2,2.0,17,17,0,0,0.0,3.25
66,20,22,0,-1,1.0,18,17,1,0,1.0,3.3
67,19,22,-1,0,1.0,18,18,0,1,1.0,3.35
68,19,22,0,0,0.0,18,17,0,-1,1.0,3.4
69,16,18,-3,-4,5.0,18,17,0,0,0.0,3.45
70,19,21,3,3,4.242640687119285,17,17,-1,0,1.0,3.5
71,20,21,1,0,1.0,18,16,1,-1,1.4142135623730951,3.55
72,20,21,0,0,0.0,18,16,0,0,0.0,3.6
73,19,21,-1,0,1.0,17,17,-1,1,1.4142135623730951,3.65
74,20,22,1,1,1.4142135623730951,17,18,0,1,1.0,3.7
75,20,22,0,0,0.0,18,15,1,-3,3.1622776601683795,3.75
76,20,22,0,0,0.0,17,16,-1,1,1.4142135623730951,3.8
77,19,22,-1,0,1.0,18,16,1,0,1.0,3.85
78,19,22,0,0,0.0,17,15,-1,-1,1.4142135623730951,3.9
79,20,22,1,0,1.0,18,17,1,2,2.23606797749979,3.95
80,20,22,0,0,0.0,18,16,0,-1,1.0,4.0
81,19,23,-1,1,1.4142135623730951,17,16,-1,0,1.0,4.05
82,20,23,1,0,1.0,18,16,1,0,1.0,4.1
83,19,23,-1,0,1.0,18,16,0,0,0.0,4.15
84,18,22,-1,-1,1.4142135623730951,17,16,-1,0,1.0,4.2
85,19,22,1,0,1.0,17,16,0,0,0.0,4.25
86,19,22,0,0,0.0,17,17,0,1,1.0,4.3
87,19,22,0,0,0.0,15,19,-2,2,2.8284271247461903,4.35
88,19,23,0,1,1.0,17,19,2,0,2.0,4.4
89,19,21,0,-2,2.0,17,17,0,-2,2.0,4.45
90,20,23,1,2,2.23606797749979,16,17,-1,0,1.0,4.5
91,19,23,-1,0,1.0,16,17,0,0,0.0,4.55
92,18,22,-1,-1,1.4142135623730951,16,17,0,0,0.0,4.6
93,20,22,2,0,2.0,16,17,0,0,0.0,4.65
94,20,23,0,1,1.0,16,16,0,-1,1.0,4.7
95,20,22,0,-1,1.0,15,17,-1,1,1.4142135623730951,4.75
96,21,24,1,2,2.23606797749979,15,17,0,0,0.0,4.8
97,20,24,-1,0,1.0,16,17,1,0,1.0,4.85
98,20,23,0,-1,1.0,15,17,-1,0,1.0,4.9
99,21,22,1,-1,1.4142135623730951,16,17,1,0,1.0,4.95
100,22,23,1,1,1.4142135623730951,16,17,0,0,0.0,5.0
101,21,23,-1,0,1.0,16,17,0,0,0.0,5.05
